voterId,project,amount,projectId,category,projectHash,project_alphabet_pos
21,"drand: distributed, verifiable randomness ",4,ID096,Infrastructure & Dependencies,0x3058eb34788aeec3a817d436969d13a9963314f4c9d201e766cbd84a126e8935,4
21,Droplet,2,ID014,Infrastructure & Dependencies,0xf9fd0f85ed1a234d9c6e784d03b134171f67988ce61fa8ca749186aa83d98cbb,4
21,Eastore,2,ID017,Product & End User UX,0x0d4b487bf2933dae9946be2c5aa7d0a715d62ab3d4904c77bca5270f160f65ba,5
21,Energy Validation Process & Green Scores Methodology,0,ID018,Other,0xd45faee9e5d601e72148a87cc44ed61ea37db87ae19970d78f0ab0d78d752dfd,5
21,EngRes the Gathering & Filecoin Ecosystem Roundup,0,ID019,Education & Outreach,0x932043643c5a967fd2521dff46f6e77263c28ba694a665650306c26b8f2e38f4,5
21,ETHGlobal,0,ID016,Education & Outreach,0xce97de14580a1bbcd5593845027e479ec085beb71bf8af447ffcd7f7cf03bfe2,5
21,Farcaster,2,ID026,Tooling & Utilities,0xf1b5dadc1508e7fc85f74b0e5ba5c9a328e18e7ad5f88136c0a6b9c273d0350f,6
21,FIL Dev Summit,0,ID020,Education & Outreach,0x44de810ab1064ae33c97529244fb1e81f46ed9eb8936072b052a9b2ec92dbdd0,6
21,Filecion Green Energy Dashboard,0,ID029,Infrastructure & Dependencies,0xa8a3bd29a45df7a9fab951741a3d9831f8d690128bd0b58b72093c6745db599e,6
21,Filecoin Africa; Empowering Africa with Decentralized Storage ,2,ID030,Education & Outreach,0x8cd3f9a9cea2ffffe1376cdd70b133d4d912140762f320dcfbcbe9ed5ab19a08,6
21,Filecoin Data Portal,2,ID031,Tooling & Utilities,0xdb739ebb63ae3cc9a7ba219025fe25f388666f396aff1c684c64d42724ac3dd9,6
21,"Filecoin Developer Experience (FVM, IPC +++)",0,ID032,Education & Outreach,0xdfee4120a71a1f19794db87d6504181ae1092b808e63b5cbb48c83dee02a9ada,6
21,Filecoin Name Service (DomainFNS),2,ID033,Product & End User UX,0x2e854caa2ee7c1d255a13d1dd6793804f8cf3bbe8b34ba4514e2248966616730,6
21,Filecoin Orbit Ambassadors,4,ID034,Education & Outreach,0xcf273ad1694f5a048520eda198b59b250b421ef3649b7153d9196ab9cc13d80d,6
21,Filecoin Proofs,0,ID035,Infrastructure & Dependencies,0x40bf2a32e5abce2f001fee83bfe271e0e9f73601e27f36ccd369017cc255df02,6
21,Filecoin Station,0,ID036,Product & End User UX,0x2d44c6aa5df5327311e40ec203560b468f44052adc10172bde7e5676f65637b5,6
21,Filecoin Upgrade Coordinators,0,ID037,Collective Governance,0x48a43552ebdda03f12ef5eb765af41c692ef68892c91cab62bf866588e1c642e,6
21,FileDrive Labs,2,ID027,Education & Outreach,0xf1b2b8bbe8d2bd2b786f7325378c8ea219750c0f22bd1c86a3074281c2ab80e3,6
21,FileMarket,0,ID028,Product & End User UX,0xceb238d2abdfe413a919b6aefefed19b605ce604a2580d4d858608f836ffb67b,6
21,Fileverse HeartBit SDK ,0,ID038,Product & End User UX,0xcb28c084834ace413c927980904032c0ef3a2d97338a27323f233e4fac8ff5d6,6
21,filexp,2,ID097,Protocol R&D,0x9f9552d2541dcc3ba3bcf6d4cc087c519bb345f6441f7fc166f085e71283e2f4,6
21,FILLiquid,0,ID021,Infrastructure & Dependencies,0x21126ef11678ce36c9019e3c12fbaa37607d631ac6bfa33ef5519b6d21587b7f,6
21,FILMemes.nft on twitter,0,ID022,Education & Outreach,0x60711569038e1b1be45503a71f2f3e29be6ada4c3f894a5f24b9f6cc178ec0e9,6
21,Filscriptions,0,ID039,Infrastructure & Dependencies,0xb08d3a0055e122d2d660270b465dc1c2cfd091bf48fa3eca15944731d6df72ed,6
21,Filswan Platform,2,ID040,Infrastructure & Dependencies,0x6809bf9d16f69ac274462c66dffca57e95cb1a01f1ff299ac4ac73cee064a81e,6
21,FiveToken + venus-wallet,2,ID041,Tooling & Utilities,0xb8c5cc1484583c325d25e63719a031aff25bf77e4a502bdd033a3434ce646f71,6
21,Forest,0,ID042,Protocol R&D,0xf092ff4b7235a2fc30d398e434760caed0f0323acb70ad947f04568add91747e,6
21,Forest Snapshot & Archival Data Service,2,ID043,Infrastructure & Dependencies,0xf0df62ab2411fb31acb45e1729346afed4e16490d1b9f3779972f575d3c74497,6
21,FRC-0069,2,ID023,Protocol R&D,0x7aaaadd55ef47f1ae96fd3d5bae2b1dfad2dfd2287f633d6382a32fb15dad944,6
21,Funding the Commons,0,ID044,Education & Outreach,0x0199caad853c76c63bb74ce99e7b40a3bc61822270cab811f9801e6f0f8e1917,6
21,Future PoRep Research,0,ID045,Protocol R&D,0xae3a3c2ec667aefc7891723b01bdfb46da5a24361675b645f55958e1eebc0317,6
21,FVM Explorer,0,ID025,Tooling & Utilities,0x51bb451c7b53e50caa82b81078b2f0a6e085dbde8df1d9cc706ac03139c37ee2,6
21,FVM,0,ID024,Protocol R&D,0x12642b13555991f028115ca6833a4aa924eb147bc45fea97c9125bbb207f12f3,6
21,GLIF,0,ID046,Infrastructure & Dependencies,0x9ae063ee72f5fa1f06e081f8ee50a606998ecd1fc95aef62803bdbf470096dad,7
21,Glif Nodes & RPC API service,4,ID047,Infrastructure & Dependencies,0x005bcf117de0884513333371a7061d3cc87ea946c4b8507063a0fb8c26879b63,7
21,go-fil-dataprep,0,ID098,Tooling & Utilities,0xfb72d11296f5dc58040b85b7a1656119474ec6caadf16a40fb123933b29bc863,7
21,go-ipld-prolly-trees,0,ID099,Tooling & Utilities,0xd6dde0b2ada20035ac755f017d90c57d13dc3aa6f7dea8a6022c08e0ef02635c,7
21,go-libp2p,2,ID100,Infrastructure & Dependencies,0xe8defb750c7825389f439928f88af4bc03969d218f5c38edf4821612c90e3b84,7
21,Green Dashboard,0,ID048,Infrastructure & Dependencies,0x7f16baad8422a9c8188c4e2bc7daca6e79bf7ce4989d3271cc87454a0297399f,7
21,GuideToFilecoin,2,ID049,Education & Outreach,0x691609e0852e40b776a238df0833a458f9eb4357fa94376382845d856107ae90,7
21,Interplanetary Network Indexers,0,ID053,Tooling & Utilities,0x06c3f5f9f155e3ed057d6e2459692c2f1482547613aab130edb8a6f136367db9,9
