date,pledge
"2023-08-01","0.1949"
"2023-08-02","0.1947"
"2023-08-03","0.1944"
"2023-08-04","0.1944"
"2023-08-05","0.1946"
"2023-08-06","0.1939"
"2023-08-07","0.1935"
"2023-08-08","0.1932"
"2023-08-09","0.1933"
"2023-08-10","0.1928"
"2023-08-11","0.1923"
"2023-08-12","0.1923"
"2023-08-13","0.1929"
"2023-08-14","0.1930"
"2023-08-15","0.1930"
"2023-08-16","0.1931"
"2023-08-17","0.1929"
"2023-08-18","0.1925"
"2023-08-19","0.1922"
"2023-08-20","0.1918"
"2023-08-21","0.1919"
"2023-08-22","0.1919"
"2023-08-23","0.1918"
"2023-08-24","0.1914"
"2023-08-25","0.1912"
"2023-08-26","0.1912"
"2023-08-27","0.1918"
"2023-08-28","0.1928"
"2023-08-29","0.1921"
"2023-08-30","0.1918"
"2023-08-31","0.1919"
"2023-09-01","0.1922"
"2023-09-02","0.1922"
"2023-09-03","0.1922"
"2023-09-04","0.1922"
"2023-09-05","0.1919"
"2023-09-06","0.1919"
"2023-09-07","0.1919"
"2023-09-08","0.1916"
"2023-09-09","0.1913"
"2023-09-10","0.1912"
"2023-09-11","0.1914"
"2023-09-12","0.1912"
"2023-09-13","0.1910"
"2023-09-14","0.1907"
"2023-09-15","0.1907"
"2023-09-16","0.1904"
"2023-09-17","0.1902"
"2023-09-18","0.1901"
"2023-09-19","0.1902"
"2023-09-20","0.1900"
"2023-09-21","0.1901"
"2023-09-22","0.1898"
"2023-09-23","0.1901"
"2023-09-24","0.1902"
"2023-09-25","0.1898"
"2023-09-26","0.1896"
"2023-09-27","0.1903"
"2023-09-28","0.1900"
"2023-09-29","0.1900"
"2023-09-30","0.1909"
"2023-10-01","0.1914"
"2023-10-02","0.1915"
"2023-10-03","0.1918"
"2023-10-04","0.1919"
"2023-10-05","0.1921"
"2023-10-06","0.1927"
"2023-10-07","0.1930"
"2023-10-08","0.1931"
"2023-10-09","0.1927"
"2023-10-10","0.1925"
"2023-10-12","0.1938"
"2023-10-13","0.1936"
"2023-10-14","0.1920"
"2023-10-15","0.1922"
"2023-10-16","0.1926"
"2023-10-17","0.1924"
"2023-10-18","0.1924"
"2023-10-19","0.1926"
"2023-10-20","0.1930"
"2023-10-21","0.1927"
"2023-10-22","0.1924"
"2023-10-23","0.1924"
"2023-10-24","0.1923"
"2023-10-25","0.1921"
"2023-10-26","0.1919"
"2023-10-27","0.1917"
"2023-10-28","0.1919"
"2023-10-29","0.1922"
"2023-10-30","0.1919"
"2023-10-31","0.1918"
"2023-11-01","0.1921"
"2023-11-02","0.1921"
"2023-11-03","0.1920"
"2023-11-04","0.1922"
"2023-11-05","0.1919"
"2023-11-06","0.1917"
"2023-11-07","0.1917"
"2023-11-08","0.1924"
"2023-11-09","0.1916"
"2023-11-10","0.1912"
